Time,Sample,Plot,Device,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error
11/5/2022 16:50,84,H,0,15.1, ,16.2, ,0.2, ,10.9, ,30.5, ,36.7, 
11/5/2022 16:59,85,I,0,8.4, ,9.2, ,       ,L,7.1, ,16.4, ,24, 
11/5/2022 17:02,86,J,0,3.3, ,7.2, ,       ,L,2.2, ,4.9, ,10.7, 
11/5/2022 17:07,87,K,0,7.9, ,4, ,       ,O,4.8, ,2, ,27.9, 
16/05/2022  14:17:54,88,Q,0,12.7, ,7.9, ,       ,L,16.4, ,11.3, ,22.5, 
16/05/2022  14:22:42,89,P,0,18.7, ,12.1, ,       ,L,7.9, ,8.6, ,13.9, 
16/05/2022  14:27:40,90,O,0,6.8, ,8, ,       ,O,       ,L,1.2, ,5.7, 
16/05/2022  14:32:18,91,N,0,15.5, ,4.9, ,       ,O,0.7, ,6.2, ,17.9, 
16/05/2022  14:37:26,92,M,0,11.5, ,8.4, ,       ,L,6.3, ,3.9, ,12.6, 
16/05/2022  14:42:33,93,M,0,11.6, ,3.9, ,       ,L,16.6, ,11.5, ,15.6, 
16/05/2022  16:39:58,94,C,0,10.2, ,9.2, ,4.3, ,24.7, ,23, ,29.5, 
16/05/2022  16:41:50,95,B,0,15.7, ,19.9, ,0.2, ,35.4, ,43.3, ,36.1, 
16/05/2022  16:46:05,96,D,0,17.4, ,22.5, ,2.4, ,25.3, ,36.6, ,36.7, 
16/05/2022  16:46:22,97,D,0,17.3, ,22.4, ,2.4, ,25.2, ,36.5, ,36.7, 
16/05/2022  16:54:00,98,S,0,20.6, ,12.6, ,       ,L,9, ,20.3, ,21.6, 
16/05/2022  16:58:57,99,T,0,5.2, ,10, ,       ,L,14.1, ,13.1, ,32.9, 
16/05/2022  17:04:33,100,A,0,14.3, ,6.9, ,7.1, ,13.8, ,17.3, ,31.8, 
16/05/2022  17:13:31,101,I,0,8.8, ,8.7, ,       ,L,6.8, ,18.6, ,24.8, 
16/05/2022  17:16:52,102,J,0,2.1, ,6.3, ,       ,L,2, ,4.7, ,12.6, 
16/05/2022  17:23:42,103,K,0,7.5, ,4.2, ,       ,O,3.9, ,2.6, ,28.1, 
17/05/2022  13:08:55,104,J,0,8.3, ,10.5, ,       ,L,6.1, ,14.3, ,22.6, 
17/05/2022  13:18:34,105,I,0,3.3, ,6.8, ,       ,L,2.9, ,5.7, ,11.9, 
17/05/2022  13:33:32,106,K,0,7.7, ,4, ,       ,L,4.6, ,2.3, ,36.1, 
25/05/2022  10:31:49,107,M,0,       ,O,38, ,       ,L,       ,L,       ,O,       ,O
25/05/2022  11:00:27,108,S,0,19.4, ,13, ,       ,L,9, ,21, ,34.2, 
25/05/2022  11:11:12,109,T,0,5.6, ,10.3, ,       ,L,15, ,13, ,19.8, 
